Category,Message
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den..."
ham,"(No promises on when though, haven't even gotten dinner yet)"
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
ham,I sent them. Do you like?
ham,Yay can't wait to party together!
ham,Are u awake? Is there snow there?
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,"Sorry, I'll call later"
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,No calls..messages..missed calls
ham,Not course. Only maths one day one chapter with in one month we can finish.
ham,"Cool, I'll text you when I'm on the way"
ham,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
ham,So what about you. What do you remember
ham,Ok then no need to tell me anything i am going to sleep good night
ham,Aaooooright are you at work?
ham,Ok. Very good. Its all about making that money.
ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
ham,K I'll take care of it
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,"Yep, by the pretty sculpture"
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
ham,Nope thats fine. I might have a nap tho!
ham,o turns out i had stereo love on mi phone under the unknown album.
ham,Wat time u finish ur lect today?
ham,Did either of you have any idea's? Do you know of anyplaces doing something?
ham,Pls accept me for one day. Or am begging you change the number.
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
ham,"Just sent again. Do you scream and moan in bed, princess?"
ham,How much is blackberry bold2 in nigeria.
ham,Happy New Year Princess!
ham,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?
ham,Reckon need to be in town by eightish to walk from * carpark.
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
ham,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
ham,Smith waste da.i wanna gayle.
ham,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...
ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
ham,I'm not. She lip synced with shangela.
ham,So wat's da decision?
ham,Yes there were many sweets
ham,26th OF JULY
ham,"Sorry, I'll call later"
ham,You see the requirements please
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,Hey u still at the gym?
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,what number do u live at? Is it 11?
ham,"That's fine, have him give me a call if he knows what he wants or has any questions"
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
ham,Ok leave no need to ask
ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!
ham,Ill call you evening ill some ideas.
ham,"Pity, * was in mood for that. So...any other suggestions?"
ham,I uploaded mine to Facebook
ham,&lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
ham,"Princess, is your kitty shaved or natural?"
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ..."
ham,Thinking of u ;) x
ham,Do ü noe if ben is going?
ham,Do u noe wat time e place dat sells 4d closes?
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
ham,Were gonna go get some tacos
ham,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..
ham,Good Morning plz call me sir
ham,"Sir, i am waiting for your call, once free please call me."
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.
ham,Hmmm:)how many players selected?
ham,I cant pick the phone right now. Pls send a message
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
ham,When/where do I pick you up
ham,Yes da. Any plm at ur office
ham,"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-)."
ham,"Haha, just what I was thinkin"
ham,Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?
ham,O. Guess they both got screwd
ham,How come i din c ü... Yup i cut my hair...
ham,Ya even those cookies have jelly on them
ham,"Its ok., i just askd did u knw tht no?"
ham,You best watch what you say cause I get drunk as a motherfucker
ham,So i'm doing a list of buyers.
ham,Huh i cant thk of more oredi how many pages do we have?
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
ham,Moji i love you more than words. Have a rich day
ham,What's up. Do you want me to come online?
ham,We can make a baby in yo tho
ham,Hui xin is in da lib.
ham,Beautiful Truth against Gravity.. Read carefully: "Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.." GOOD NIGHT
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
ham,Hi darlin did youPhone me? Im atHome if youwanna chat.
ham,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though"
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!
ham,Yo! Howz u? girls never rang after india. L
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.
ham,Another month. I need chocolate weed and alcohol.
ham,Probably earlier than that if the station's where I think it is
ham,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.
ham,"Nah man, my car is meant to be crammed full of people"
ham,Thanx a lot...
ham,Oh is it! Which brand?
ham,After the drug she will be able to eat.
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,Apart from the one i told you about yesterday?
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,I send the print  outs da.
ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
ham,"Did you say bold, then torch later. Or one torch and 2bold?"
ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
ham,I have no money 4 steve mate! !
ham,Oh my God. I'm almost home
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
ham,Ugh I don't wanna get out of bed. It's so warm.
ham,I liked your new house
ham,I come n pick ü up... Come out immediately aft ur lesson...
ham,Which is weird because I know I had it at one point
ham,Have you bookedthe hut? And also your time off? How are you by the way?
ham,"Haha... Sounds crazy, dunno can tahan anot..."
ham,How dare you change my ring
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
ham,Wait 2 min..stand at bus stop
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
ham,All sounds good. Fingers . Makes it difficult to type
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
ham,Dear are you angry i was busy dear
ham,… and don‘t worry we‘ll have finished by march … ish!
ham,"Come round, it's ."
ham,Your bill at 3 is £33.65 so thats not bad!
ham,"I am in tirupur da, once you started from office call me."
ham,"Er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off"
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Some are lasting as much as 2 hours. You might get lucky.
ham,"see you then, we're all christmassy here!"
ham,S..antha num corrct dane
ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
ham,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
ham,Where are the garage keys? They aren't on the bookshelf
ham,Can do lor...
ham,Fine am simply sitting.
ham,Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free
ham,Well obviously not because all the people in my cool college life went home ;_;
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
ham,Ok... I din get ur msg...
ham,Have a nice day my dear.
ham,I dont understand your message.
ham,Did you show him and wot did he say or could u not c him 4 dust?
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,happened here while you were adventuring
ham,Ok no prob... I'll come after lunch then...
ham,Where to get those?
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,"sure, but make sure he knows we ain't smokin yet"
ham,Jus finish bathing...
ham,Lmao. Take a pic and send it to me.
ham,"And very importantly, all we discuss is between u and i only."
ham,I like to think there's always the possibility of being in a pub later.
ham,Its a part of checking IQ
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,Dunno dat's wat he told me. Ok lor...
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
ham,Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?
ham,Do well :)all will for little time. Thing of good times ahead:
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
ham,I think steyn surely get one wicket:)
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
ham,Gud mrng dear hav a nice day
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
ham,Captain is in our room:)
ham,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
ham,Dear got train and seat mine lower seat
ham,I am not sure about night menu. . . I know only about noon menu
ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
ham,Why do you ask princess?
ham,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?"
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
ham,Ok ill tell the company
ham,I've been trying to reach him without success
ham,Thankyou so much for the call. I appreciate your care.
ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
ham,Really? I crashed out cuddled on my sofa.
ham,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."
ham,Ok..
ham,Jus finish watching tv... U?
ham,Then mum's repent how?
ham,Lol or I could just starve and lose a pound by the end of the day.
ham,No prob. I will send to your email.
ham,Hows the street where the end of library walk is?
ham,I am great! How are you?
ham,I'm in class. Will holla later
ham,Water logging in desert. Geoenvironmental implications.
ham,"Goodmorning, today i am late for 1hr."
ham,will you like to be spoiled? :)
ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,Pete can you please ring meive hardly gotany credit
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
ham,"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
ham,How much you got for cleaning
ham,Cause I'm not freaky lol
ham,Dont let studying stress you out. L8r.
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?"
ham,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.
ham,Ok... Ur typical reply...
ham,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
ham,"K so am I, how much for an 8th? Fifty?"
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
ham,"aight we can pick some up, you open before tonight?"
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
ham,Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later.
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
ham,Fine. Do you remember me.
ham,Noice. Text me when you're here
ham,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?
ham,Every monday..nxt week vl be completing..
ham,Ok
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.
ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
ham,I anything lor.
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
ham,Ill be there on  &lt;#&gt;  ok.
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.
ham,I'm done. C ü there.
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,Update your face book status frequently :)
ham,I like cheap! But i‘m happy to splash out on the wine if it makes you feel better..
ham,Why don't you wait 'til at least wednesday to see if you get your .
ham,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
ham,Am surfing online store. For offers do you want to buy any thing.
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!
ham,Beautiful Truth against Gravity.. Read carefully: "Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.." GOODMORNING
ham,Okey dokey swashbuckling stuff what oh.
ham,IM GONNA MISS U SO MUCH
ham,"K, I'll work something out"
ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.
ham,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
ham,And he's apparently bffs with carly quick now
ham,Are you up for the challenge? I know i am :)
ham,Ü neva tell me how i noe... I'm not at home in da aft wat...
ham,Din i tell u jus now 420
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
ham,Then ur physics get a-?
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY
ham,I'm really sorry I lit your hair on fire
ham,I know you are. Can you pls open the back?
ham,Gd luck 4 ur exams :-)
ham,You getting back any time soon?
ham,I have to take exam with in march 3
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
ham,i felt so...not any conveying reason.. Ese he... What about me?
ham,Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends
ham,"My planning usually stops at ""find hella weed, smoke hella weed"""
ham,Ard 530 lor. I ok then message ü lor.
ham,Love you aathi..love u lot..
ham,Okie
ham,This pain couldn't have come at a worse time.
ham,LOL what happens in Vegas stays in vegas
ham,"If e timing can, then i go w u lor..."
ham,Sent me de webadres for geting salary slip
ham,Only once then after ill obey all yours.
ham,Did he just say somebody is named tampa
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,"And how you will do that, princess? :)"
ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
ham,"Sure, whenever you show the fuck up &gt;:("
ham,Be sure to check your yahoo email. We sent photos yesterday
ham,"Sorry, I'll call later in meeting"
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.
ham,"Haha awesome, be there in a minute"
ham,In the end she might still vomit but its okay. Not everything will come out.
ham,I cant pick the phone right now. Pls send a message
ham,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,"Aight yo, dats straight dogg"
ham,I guess it is useless calling u 4 something important.
ham,"Sorry, I'll call later"
ham,Just sent it. So what type of food do you like?
ham,"Doing nothing, then u not having dinner w us?"
ham,Great. Never been better. Each day gives even more reasons to thank God
ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
ham,University of southern california.
ham,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs.."
ham,R u here yet? I'm wearing blue shirt n black pants.
ham,"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah"
ham,Ok lor wat time ü finish?
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
ham,Was actually about to send you a reminder today. Have a wonderful weekend
ham,Nope watching tv at home... Not going out. V bored...
ham,Dont worry. I guess he's busy.
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
ham,Sorry. || mail? ||
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
ham,"Sorry, I'll call later"
ham,Call him and say you not coming today ok and tell them not to fool me like this ok
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
ham,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx
ham,DO NOT B LATE LOVE MUM
ham,Raviyog Peripherals bhayandar east
ham,Its sunny in california. The weather's just cool
ham,"Sir, I am waiting for your mail."
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,;-) ok. I feel like john lennon.
ham,R u sure they'll understand that! Wine * good idea just had a slurp!
ham,:-( sad puppy noise
ham,Dare i ask... Any luck with sorting out the car?
ham,"(And my man carlos is definitely coming by mu tonight, no excuses)"
ham,"fyi I'm at usf now, swing by the room whenever"
ham,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you
ham,You busy or can I come by at some point and figure out what we're doing tomorrow
ham,U still havent got urself a jacket ah?
ham,Tell me whos this pls:-)
ham,I cant pick the phone right now. Pls send a message
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
ham,So what u doing today?
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
ham,U wan 2 haf lunch i'm in da canteen now.
ham,I'll text now! All creepy like so he won't think that we forgot
ham,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900)
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
ham,Did you stitch his trouser
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
ham,So can collect ur laptop?
ham,I dont thnk its a wrong calling between us
ham,Can come my room but cannot come my house cos my house still messy... Haha...
ham,K.then any other special?
ham,Unlimited texts. Limited minutes.
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
ham,In that case I guess I'll see you at campus lodge
ham,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...
ham,Hey. You got any mail?
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
ham,(You didn't hear it from me)
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
ham,Ffffffffff. Alright no way I can meet up with you sooner?
ham,How is it possible to teach you. And where.
ham,Love you aathi..love u lot..
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,R ü comin back for dinner?
ham,Your daily text from me – a favour this time
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
ham,K. I will sent it again
ham,COME BACK TO TAMPA FFFFUUUUUUU
ham,"Aldrine, rakhesh ex RTM here.pls call.urgent."
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...
ham,"Nah can't help you there, I've never had an iphone"
ham,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
ham,Why are u up so early?
ham,"Sorry, I can't help you on this."
ham,Gokila is talking with you aha:)
ham,I was just callin to say hi. Take care bruv!
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
ham,I‘m going to try for 2 months ha ha only joking
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,Lolnice. I went from a fish to ..water.?
ham,Oh ok no prob..
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,"Haha get used to driving to usf man, I know a lot of stoners"
ham,You will be in the place of that man
