data,labels
"actress roberts take spider role      actress julia roberts play spider new film version children classic charlotte web      voice charlotte team girl save friend wilbur pig story eb white film mix live action animation robert project birth twin hazel phinnaeus month ago oprah winfrey voice goose john cleese voice sheep steve buscemi rat two thousand and six film      year old dakota fanning play fern girl centre story film direct thirteen go thirty film maker gary winick filming begin melbourne australia later month charlotte web sell forty-five million copy publish one thousand, nine hundred and fifty-two animate version one thousand, nine hundred and seventy-three live action film actor voice wilbur pig reveal",entertainment
film production fall forty uk      number british film produce uk fall forty two thousand and four movie star johnny depp jude law affect screen daily say      seven british film uk year follow drop funding compare forty-five two thousand and three accord trade weekly attribute drop tight tax law reduce funding source national lottery uk co production britain fall one hundred and two two thousand and three eighty-one year      year government close tax loophole film investor take advantage fund film uk project shelve faced implication clampdown couple reduction movie fund traditional source include lottery miramax film shoot period drama tulip fever star jude law keira knightley postpone indefinitely shoot libertine star johnny depp move isle man      not come replace fund say libertine executive producer marc samuelson hiatus films medium budget xc2xa39 similar level box office hit vera drake calendar girl endure love expect worst hit tax clampdown strength pound dollar expect result fall number film shoot uk two thousand and four screen international add big budget co production harry potter series continued shoot uk uk film council say drop partly two thousand and three especially good year british film production bridget jones edge reason wimbledon thunderbird film uk      drop expect way 2003s record level production better council spokesperson say reduction indigenous film production two thousand and four variety factor include continue long term trend co production film country change finance arrangement early predict downward trend uk production continue two thousand and five uk film council say september government introduce subsidy worth xc2xa34 film medium budget film new treasury measure announce replacement uk film tax relief scheme section forty-eight july,entertainment
patti smith host arts festival      rock star patti smith artistic director year meltdown festival hold london south bank centre june      punk pioneer follow morrissey david bowie nick cave direct fifteen day concert event smith decide line meltdown begin eleven june want touch aspect culture reading genet idea jeremy iron read proust say      fifty-eight year old singer night tell observer newspaper festival response material exploitative greedy time important explore new salute good art aesthetically spiritually say year meltdown festival direct ex smiths star morrissey include appearance singer jane birkin nancy sinatra playwright alan bennett persuade punk band new york doll reform reunion,entertainment
brit return keane number      brit success help return keane award win album hope fear uk album chart      debut album take good british album title brit tuesday move seven place number number capitalising brit success scissor sister eponymous album move place number u2s late single not take spot single chart ahead elvis track current album dismantle atomic bomb push eminem like toy soldier number number      elvis wooden heart enter chart number sixth series eighteen reissue mark 70th anniversary presley birth currently release elvis track occupy spot forty single chart include lonesome tonight number twenty number twenty-seven jailhouse rock number thirty-seven soldier destiny child ti lil wayne debut number duet westlife star brian mcfadden delta goodrem fall number number follow brit success franz ferdinand win good rock act good british group week self title album move thirteen number week number album tourist athlete fall number,entertainment
"sundance honour foreign film      international film give prominence film year sundance film festival movie dominate theme war      independent film festival feature new international cinema competition twenty thirty january season utah film debut sundance include liberace baghdad british director sean mcallister prestigious festival found actor robert redford one thousand, nine hundred and eighty-one      international component year enter jury competition festival director geoffrey gilmore say want world cinema emphasis par american dramatic documentary competition film compete new world cinema documentary category focus country people siege      liberace baghdad feature iraqi pianist hiding hotel wait visa finnish film room melancholia look war chechnya shake hand devil journey romeo dallaire tell un mission rwanda one thousand, nine hundred and ninety-four genocide french israeli production wall look israel controversial security wall separate palestinian territory sixteen film compete new world cinema dramatic category include works germany south korea angola china denmark australia      hollywood star feature festival american independent drama category include keanu reeves benjamin bratt vince vaughn star quirky movie thumbsucker twenty-one gram actress naomi watts play bud hollywood actress ellie parker grand jury prize year festival go low budget sci fi thriller primer write direct shane carruth morgan spurlock earn directing award super size international box office hit",entertainment
"rapper snoop dogg sue rape      rapper snoop dogg sue twenty-five xc2xa313 artist claim entourage drug rape year ago      woman say assaulted record jimmy kimmel live tv abc network two thousand and three rapper spokesman say allegation untrue woman misuse legal system mean extract financial gain abc say claim merit star charge police      lawsuit file los angeles friday say womans champagne spiked assaulted rapper spokesperson say snoop opportunity prove court law allege victim opportunistic deceitful confident case allege victim claim snoop dogg reject lawsuit name snoop dogg real calvin broadus plus associates walt disney company parent company abc inc      woman wait year sue try negotiate settlement medium company lawyer perry wander say disney abc fail provide safe work environment client say legal action come rap star sue woman claim try blackmail quiet allege assault thirty-two year old rapper enjoy ten album burst music scene hit song like gin juice one thousand, nine hundred and ninety-three",entertainment
de niro film lead box office      film star robert de niro return north american box office film hide seek      thriller shot straight number spot take twenty-two xc2xa311.seven box office de niro recently spend week comedy meet focker number week oscar hopeful aviator million dollar baby sideways cash multiple nomination strong ticket sale      hide seek de niro play widower daughter creepy imaginary friend despite lukewarm review critic film took expect eighteen xc2xa39.five element real actor psychological thriller certainly elevate say bruce snyder president domestic distribution 20th century fox clint eastwood million dollar baby lead oscar hopeful eleven.eight xc2xa36.three come number weekend wide release aviator film biography howard hughes lead oscar field eleven nomination number weekend seven.five xc2xa34 oscar good picture nominee sideway enter time 15th week release come seventh six.three xc2xa33.thirty-five week film ice cube road trip comedy slip second place seventeen xc2xa39 coach carter fall place number take xc2xa34.twenty-five week round good company star dennis quaid scarlett johansson racing stripes assault precinct thirteen,entertainment
indie film nomination announce      mike leighs award win abortion drama vera drake scoop seven nomination year british independent film awards      venice winner face stiff competition shane meadow critically acclaim dead man shoe receive nomination run clutch award summer love stalker drama endure love winner announce ceremony london thirty november winners awards choose jury chair cold mountain director anthony minghella include actress cate blanchett helena bonham carter      awards recognise independent film make britain establish seven year ago year nominee reflect grow strength diversity british independent filmmaking say bifa founder director elliot grove comment diversity nominate film add selection committee hard time narrow field      join vera drake dead man shoe run good film summer love climb documentary touch void zombie comedy shaun dead geoffrey rush win good actor nomination role peter seller recent biopic life death peter seller      australian star face competition daniel craig endure love phil davis vera drake ian hart blind fight dead man shoe star paddy considine considine nominate well support actor award summer love rare nominee scarlett johansson years good actress contender role girl pearl earring      fellow nominee include imelda staunton vera drake natalie press summer love anne reid mother eva birthistle ae fond kiss shane meadow kevin mcdonald winners douglas hickox award well directorial debut win good director nomination season film maker roger michell mike leigh pavel pavlikowsky challenge award harry potter author jk rowling receive special award contribution industry,entertainment
"director nair vanity project      indian film director mira nair say thrill give chance william makepeace thackeray novel vanity fair book favourite life      book classic english literature story scheme 19th century social climber becky sharp play film reese witherspoon nair say jump chance work film controversially bollywood style include song dance routine film second half serendipity offer vanity fair studio focus feature distribute monsoon wedding nair tell bbc world services masterpiece programme offer good thing realise vanity fair actually favourite novel sixteen year old irish catholic boarding school india      one thousand, nine hundred and eighty-eight debut feature salaam bombay nominate good foreign language oscar winner good feature canne nair indias famous respected director restrict bollywood follow salaam bombay mississippi masala star denzel washington perez family hollywood film      career peak monsoon wedding two thousand and one win golden lion award venice nairs indian style adaptation vanity fair attack critic reach number box office opening week describe bollywood element jarring film new ending becky sharp run new life india nair say film pick way thackeray bear india move england young man see world sixteen becky sharp completely memorable character recognise recognise lady want lady want buck system say sort novel keep bed year dip suddenly completely mesmerise get old read think thackeray clarity clear sightedness society fact bear india come england young man give eye outsider insider perspective love      nair defend decision cast american actress reese witherspoon becky sharp despite fact rest cast british irish cast intuitively film cast non actor cast actor say intuition fall love actor visceral response      thackeray describe becky sharp minx describe tiny red head thin reese completely minx like irresistibility having win role physically perfectly suited witherspoon pregnant nair say create need film trick fact help film self fulfil prophesy meet husband actor ryan philippe say knock will not need flesh girl joke fan underfed los angeles actor becky sharp eventually blow woman course film love luminosity pregnancy bring love fleshiness love ample bosom gave play nair explain camera trick disguise witherspoon bump scene include hire number young boy costume stand run get coal cart jump horse nair say certain carriage horse go wipe screen certain moment bump",entertainment
"sound music come home      original stage production sound music perform time austrian capital forty year film release      scale theatrical production musical debut vienna saturday julie andrews star one thousand, nine hundred and sixty-five film version rogers hammerstein classic set alpine country despite successful musical time barely know inside austria      film show cinema austria broadcast television early 1990s musical base true story von trapp family form singing troupe escape nazi occupy austria one thousand, nine hundred and thirty-eight      sensitivity nazism wartime austria issues von trapp family explain austrias reluctance embrace musical source irritation austrians song edelweiss consider traditional folk song filmgoer song actually invention rodgers hammerstein consider film portray kitsch image austria include yodel goat herds lederhosen production stage viennese opera house volksoper begin saturday maria novice nun fall love baron von trapp play austro australian actress singer sandra pire",entertainment
"last influence legend charles      ray charles win string posthumous grammy award belong pioneer generation artist huge influence course rock pop music      sound encompass style blue gospel jazz rock roll country real impact nascent uk beat r&b scene      compare stature elvis presley commentator charle song cast spell one thousand, nine hundred and sixty stalwart joe cocker steve winwood eric burdon van morrison influence extend contemporary artist norah jones recently record duet james brown godfather soul ray charle indisputably found father sam cooke instrumental bring gospel fervour deep south baptist church devil music r&b pave way new generation soul artist      charle hard imagine tear stain atlantic r&b sound aretha franklin otis redd wilson pickett talented jazz composer arranger band leader play newport jazz festival carnegie hall recording note jazz musician milt jackson david fathead newman unfortunately share trait common jazz artist era heroin addiction lead arrest one thousand, nine hundred and sixty-five string 1950s atlantic r&b success include song cover generation rock roll great include ve get woman roy orbison elvis presley hallelujah love eddie cochran exuberance one thousand, nine hundred and fifty-nine signature song charles turn pop orient style recording hoagy carmichael sentimental string ballad georgia mind upbeat hit road jack      win acclaim country arena interpretation hank williams standard cheat heart win forty year release one thousand, nine hundred and sixty-two abc album modern sound country western music regard classic version don gibson not stop love top pop r&b chart one thousand, nine hundred and seventy-two rare foray protest song album message people      take stand poverty civil right echo similar recording era progeny stevie wonder james brown curtis mayfield marvin gaye twenty year later embrace contemporary production one thousand, nine hundred and ninety-three album world feature hip hop beat charles claim time know hip hop tribute pour section music world charle die aged seventy-three june two thousand and four friend producer quincy jones describe brother sense word musician break perceive wall musical genre ray charles say manfre mann singer paul jones sing 1960s hit come tomorrow sha la la say charles hero sure writing influence tell bbc news online money proposition ray charles influence music forever",entertainment
"rapper fifty cent end protege feud      rapper fifty cent end public feud protege game pair say want good role model community      row blow fifty cent throw game unit crew accuse disloyal member game entourage reportedly shoot outside radio station fifty cent interview pair shake hand hand money music project new york deprive area wednesday      game real jayceon taylor tell news conference want apologise ashamed participate thing go week chart topper fifty cent real curtis jackson say truce come anniversary death notorious big one thousand, nine hundred and ninety-seven volatile feud east west coast rap scene today people rise difficult circumstance negativity fifty cent say      lot people not want happen respond important group family fan boy choir harlem get cheque one hundred and fifty,zero xc2xa377,eight hundred fifty cent game hand one hundred and three,five hundred xc2xa353,four hundred game contribution compton schools music programme fifty cent announce launch unity foundation help people overcome obstacle chance well life      realise go effective overcome say game need set example community fifty cent stranger feud rapper ja rule target ridicule song late album release early month turn attention fat joe nas work ja rule game admit drug deal past shot",entertainment
"producer scoop stage award      producer beat mary poppin battle blockbuster west end musical olivi award      producer win prize uks prestigious annual theatre award mary poppin win mel brooks hit triumphed battle well new musical mary poppin andrew lloyd webber woman white alan bennetts history boy big winner straight theatre category pick trophy eye musical prize producer mary poppin woman white high profile opening month      producer nathan lane minute replacement richard dreyfuss beat co star lee evans win good musical actor lane leave production smash hit broadway move london win good musical performance support role conleth hill play director roger debris mary poppins award come good choreography good musical actress star laura michelle kelly lead nomination go sunday ceremony london hilton hotel awards show stage adaptation one thousand, nine hundred and sixty film history boy set grammar school early 1980s partly base bennetts experience teacher name good new play      win good actor richard griffiths beat harry potter film co star michael gambon nominate endgame jonathan pryce ben whishaw play win national theatre artistic director nicholas hytner good director bennett get special award outstanding contribution british theatre dame judi dench star all end gielgud lose well support role category amanda harris play emilia othello royal shakespeare company olivi award hand society london one thousand, nine hundred and seventy-six      good lighting design dark material design paule constable olivi       good sound design woman white design mick potter palace       good new opera lady macbeth mtsensk royal opera house       outstanding achievement opera thomas ade royal opera house world premiere tempest       good costume design all end design deirdre clancy gielgud       good revival hamlet william shakespeare old vic       well set design dark material design gile cadle olivi       outstanding musical production grand hotel donmar warehouse       well support role musical conleth hill producer theatre royal drury lane       good theatre choreographer matthew bourne stephen mear mary poppin prince edward       good actor richard griffiths history boys lyttelton       outstanding achievement performance affiliate theatre andrew scott girl car man jerwood theatre upstairs royal court       good new dance production rambert dance company swamp sadler wells       outstanding achievement dance san francisco ballet season sadler well       good performance support role amanda harris othello trafalgar studio       good actress clare higgins hecuba donmar warehouse       good musical actor nathan lane producers theatre royal drury lane       good musical actress laura michelle kelly mary poppin prince edward       good director nicholas hytner history boys lyttelton       good new play history boy alan bennett lyttelton       well new musical producer theatre royal drury lane       special award alan bennett outstanding contribution british theatre",entertainment
brit return keane number      brit success help return keane award win album hope fear uk album chart      debut album take good british album title brit tuesday move seven place number number capitalising brit success scissor sister eponymous album move place number u2s late single not take spot single chart ahead elvis track current album dismantle atomic bomb push eminem like toy soldier number number      elvis wooden heart enter chart number sixth series eighteen reissue mark 70th anniversary presley birth currently release elvis track occupy spot forty single chart include lonesome tonight number twenty number twenty-seven jailhouse rock number thirty-seven soldier destiny child ti lil wayne debut number duet westlife star brian mcfadden delta goodrem fall number number follow brit success franz ferdinand win good rock act good british group week self title album move thirteen number week number album tourist athlete fall number,entertainment
soul sensation ready award      south west teenage singing sensation joss stone nominate category wednesday brit award      seventeen year old small east devon village near cullumpton receive nomination good solo female good urban act good breakthrough artist second album mind body soul reach number uk chart october go straight chart number eleven ms stone perform 25th award ceremony london earl court teenager grammy nomination normally dominate home grown act bear jocelyn stoker devon diva start career bbc talent programme discover new york audition record executive steve greenberg seventeen year old singer hope tour japan australia two thousand and five,entertainment
oceans raid box office      ocean crime caper sequel star george clooney brad pitt julia roberts go straight number box office chart      take forty.eight xc2xa321 weekend ticket sale accord studio estimate sequel follow master criminal try pull major heist europe knock week number national treasure place wesley snipe blade trinity second take sixteen.one xc2xa38.four round animate fable polar express star tom hanks festive comedy christmas krank      oceans box office triumph mark fourth big opening december release film lord rings trilogy sequel narrowly beat two thousand and one predecessor ocean take thirty-eight.one xc2xa319.eight opening weekend one hundred and eighty-four xc2xa395.eight total remake 1960s film star frank sinatra rat pack ocean direct oscar win director steven soderbergh soderbergh return direct hit sequel reunite clooney pitt roberts matt damon andy garcia elliott gould catherine zeta jones joins star cast fun good holiday movie say dan fellman president distribution warner bros critic complimentary one hundred and ten xc2xa357.two project los angeles times label dispirit vanity project milder review new york times dub sequel unabashedly trivial,entertainment
"dvd review spider man      universal rule film superhero special effect extravaganza good spider man break rule      fantastically deep quickly draw tale spidey versus doc ock fate poor peter parker gigantic action set piece seamlessly work brood personal torment look stunning effect look false tobey maguire kirsten dunst alfred molina compel universal rule dvds superhero film make feature effect disc cover special effect detail look film commentary trailer blooper reel      quality come bulk set contain thirty-four john wayne film range western war movie quiet man      christmas present twenty-four december will not early new year truly complete collection lean wayne early film true grit instance hellraiser film look transfer dvd extras      daft know famous one thousand, nine hundred and seventy-nine series cult favourite long await dvd set season buck gil gerard wilmas erin gray tongue cheek adventure camp gaudy remember disappointment dvd po face second season import price big omission extra particularly disappointing originally mean commentary star gerard gray agree",entertainment
tautou film tops cesar prize nod      french film long engagement receive twelve nomination france cesar film award despite recent rule french      world war romantic drama star audrey tautou recently rule american paris court partially back warner bros cesar organiser modify rule allow film compete film direct jean pierre jeunet receive good actress picture director nomination      november court judge film american compete french film festival association french producer challenge jeunet right french government subsidy warner bros backer ruling mean movie film france french actor technician eligible compete french prize alain terzian president cesar organisers academie des arts et techniques du cinema say change eligibility rule allow film french expression month prior court decision film good film category include police drama thirty-six quai des orfevres arnaud desplechin king queen abdellatif kechiche lesquive france number film two thousand and four box office chorus      good actor daniel auteuil thirty-six mathieu amalric king queen gerard jugnot chorus philippe torreton lequipier benoit poelvoorde podium tautou compete maggie cheung emmanuelle devos yolande moreau karin viard good actress michael moores fahrenheit nine/eleven motorcycle diary lose translation eternal sunshine spotless mind twenty-one gram vie good foreign film prize award ceremony hold twenty-six february year smith star robot independence day man black give honorary cesar french singer actor jacques dutronc,entertainment
"download enter single chart      digital music download include main single chart time      billboard hot one hundred chart incorporate data sale music download previously assign separate download chart green day boulevard break dream currently number billboard pop chart top digital chart download sale incorporate uk single chart later year      digital sale compile billboard hot digital sale chart tally sale physical single airplay information new hot one hundred chart second new chart pop one hundred combine airplay digital physical sale confine airplay information radio station play chart music addition green day artist current digital sale ten include kelly clarkson game killers      sale legally download song shoot tenfold two thousand and four two hundred million track purchase online europe twelve month international federation phonographic industry ifpi report month uk sale song download overtake physical single time end year week december two thousand and four see download sale three hundred and twelve,zero compare two hundred and eighty-two,zero physical single accord british phonographic industry uks official music download chart launch september compile popular track download legal uk site include itune od2 mycokemusic.com napster westlife fly wing one thousand, nine hundred and ninety-nine track reissue occasion number uk download chart      spokesman british phonographic industry bpi say combine uk download sale chart compile half year work go music business right sure new chart work plan say bpi spokesman describe uk music download chart compile official chart company have great success launch provide focus industry drive interest download music fan say",entertainment
"rapper jay label boss      rap star jay record company executive charge hip hop influential label def jam      jay say music 2003s black album company president chief executive january def jam parent company universal appointment buying jay zs roc fella label def jam artist include ll cool dmx ludacris ja rule ashanti jay continue run roc fella found damon dash one thousand, nine hundred and ninety-five kanye west beanie sigel roster universal say wednesday buy fifty roc fella      antonio la reid chairman island def jam music group say think relevant credible hip hop community build def jam fantastic legacy hope jay company groundbreake era add jay real shawn carter say inherit important brand hip hop def jam roc fella      feel giant step entire artist community successful respect rap star year jay zs hit include hard knock life dirt shoulder three bonnie clyde girlfriend beyonce knowle say retire black album release album ill fate tour kelly def jam found one thousand, nine hundred and eighty-four russell simmons producer rick rubin sign artist include run dmc beastie boy public enemy",entertainment
"hollywood hunt hit sundance      sundance film festival movie industry destination uncover independent hit new talent open thursday      event screen executive decamp hollywood park city utah eleven day search low key movie big two thousand and five open water napoleon dynamite garden state super size snap year festival star like keanu reeve pierce brosnan film show festival open screen quirky comedy happy ending star friend actress lisa kudrow maggie gyllenhaal thursday      kudrow friend co star david schwimmer play divorce drunkard duane hopwood brosnan star hit man comedy matador keanu reeves appear come age tale thumbsucker kevin costner michael keaton big name film involve robert redford found sundance one thousand, nine hundred and eighty-one go showcase future success reservoir dogs blair witch project monty receive criticism commercial mainstream year press argue sundance completely change not change festival director geoffrey gilmore say place discovery place common ground film maker audience celebrity stuff film generate interest year festival include hustle flow aspire rapper squid whale autobiographical film writer director noah baumbach comedy drama pretty persuasion new international cinema competition",entertainment
